letter,language,coverage,title,id,file
M,"Motu, Hiri",Full Bible,"Buka Helaga",hmo,M/Motu, Hiri/Full Bible — Buka Helaga.html
D,"Ditammari",Full Bible,"Bibiri Kuyie Nnɑ́ɑǹtì Pɑ́tíri",tbzsim,D/Ditammari/Full Bible — Bibiri Kuyie Nnɑ́ɑǹtì Pɑ́tíri.html
Q,"Quechua, Huallaga Huánuco",Full Bible,"Tayta Diosninchi Isquirbichishan",qub,Q/Quechua, Huallaga Huánuco/Full Bible — Tayta Diosninchi Isquirbichishan.html
U,"Uyghur",Full Bible,"مۇقېددېس كالام (يەنگى يېزىق)",uigara,U/Uyghur/Full Bible — مۇقېددېس كالام (يەنگى يېزىق).html
U,"Uyghur",Full Bible,"Муқеддес Калам (кирил йезиқ)",uigcyr,U/Uyghur/Full Bible — Муқеддес Калам (кирил йезиқ).html
U,"Uyghur",Full Bible,"Muqeddes Kalam (latin yéziq)",uiglat,U/Uyghur/Full Bible — Muqeddes Kalam (latin yéziq).html
U,"Uyghur",Full Bible,"Muⱪeddes Kalam (yǝngi yeziⱪ)",uigpin,U/Uyghur/Full Bible — Muⱪeddes Kalam (yǝngi yeziⱪ).html
D,"Dawro",Full Bible,"ጌሻ ማጻፋ",dwrENT,D/Dawro/Full Bible — ጌሻ ማጻፋ.html
D,"Dawro",Full Bible,"Geeshsha Mas'aafaa",dwrl,D/Dawro/Full Bible — Geeshsha Mas'aafaa.html
N,"Nahuatl, Huasteca Central",Full Bible,"Icamanal toteco; Santa Biblia",nchBl,N/Nahuatl, Huasteca Central/Full Bible — Icamanal toteco; Santa Biblia.html
N,"Nahuatl, Huasteca Occidental",Full Bible,"Icamanal toteco; Santa Bíblia",nhwBl,N/Nahuatl, Huasteca Occidental/Full Bible — Icamanal toteco; Santa Bíblia.html
N,"Nahuatl, Huasteca Oriental",Full Bible,"Itlajtol toteco: Santa Biblia",nheBl,N/Nahuatl, Huasteca Oriental/Full Bible — Itlajtol toteco Santa Biblia.html
U,"Urdu",Full Bible,"किताबे-मुक़द्दस",urdgvh,U/Urdu/Full Bible — किताबे-मुक़द्दस.html
U,"Urdu",Full Bible,"Kitab-i Muqaddas",urdgvr,U/Urdu/Full Bible — Kitab-i Muqaddas.html
U,"Urdu",Full Bible,"کتابِ مقدّس",urdgvu,U/Urdu/Full Bible — کتابِ مقدّس.html
E,"English",Full Bible,"Translation for Translators",eng-t4t,E/English/Full Bible — Translation for Translators.html
B,"Baatonum",Full Bible,"Bibeli Gusunɔn Gari",bba,B/Baatonum/Full Bible — Bibeli Gusunɔn Gari.html
C,"Cebuano",Full Bible,"Biblica® Open Ang Pulong sa Dios",cebocb,C/Cebuano/Full Bible — Biblica® Open Ang Pulong sa Dios.html
K,"Kankanaey",New Testament,"Kankanaey Bible",kne,K/Kankanaey/New Testament — Kankanaey Bible.html
M,"Male",Full Bible,"ጌኤዦ ማፃኣፖ",mdyeth,M/Male/Full Bible — ጌኤዦ ማፃኣፖ.html
M,"Melanesian Pidgin",Full Bible,"Buk Baibel long Tok Pisin",tpiOTNT,M/Melanesian Pidgin/Full Bible — Buk Baibel long Tok Pisin (tpiOTNT).html
R,"Roviana",Full Bible,"Buka Hope",rug,R/Roviana/Full Bible — Buka Hope.html
I,"Ilonggo",Full Bible,"Biblica® Libre Ang Pulong Sang Dios",hil,I/Ilonggo/Full Bible — Biblica® Libre Ang Pulong Sang Dios.html
Y,"Yapese",Full Bible,"Bible Ni Thothup",yap,Y/Yapese/Full Bible — Bible Ni Thothup.html
D,"Dadibi",Full Bible,"Godigo dwagi yai po buku",mps,D/Dadibi/Full Bible — Godigo dwagi yai po buku.html
K,"Kapingamarangi",Full Bible,"Beebaa Dabu",kpg,K/Kapingamarangi/Full Bible — Beebaa Dabu.html
P,"Pohnpeian",Full Bible,"Pohnpeian Bible",pon2006,P/Pohnpeian/Full Bible — Pohnpeian Bible.html
G,"Guajajára",Full Bible,"Tupàn ze'eg",gubBl,G/Guajajára/Full Bible — Tupàn ze'eg.html
K,"Kilivila",Full Bible,"Buki Pilabumaboma Kabutubogwa Deli Kabutuvau",kij,K/Kilivila/Full Bible — Buki Pilabumaboma Kabutubogwa Deli Kabutuvau.html
B,"Beami",Full Bible,"GODE EA SIA: IDA:IWANE GALA",beo,B/Beami/Full Bible — GODE EA SIA IDA IWANE GALA.html
C,"Chuj",Full Bible,"A Ch'an Biblia D'a Chuj San Mateo",cac,C/Chuj/Full Bible — A Ch'an Biblia D'a Chuj San Mateo.html
A,"Aruamu",Full Bible,"Godɨn Eghaghanim: Akar Gavgavir Dɨkɨrɨzir Ghurim ko Igiam",msy2020,A/Aruamu/Full Bible — Godɨn Eghaghanim Akar Gavgavir Dɨkɨrɨzir Ghurim ko Igiam.html
B,"Burmese",Full Bible,"Common Language Bible",mya,B/Burmese/Full Bible — Common Language Bible.html
I,"Iranian Persian",Full Bible,"Biblica® Open Persian Contemporary Bible 2022",pesopcb,I/Iranian Persian/Full Bible — Biblica® Open Persian Contemporary Bible 2022.html
K,"Kriol",Full Bible,"Holi Baibul",rop,K/Kriol/Full Bible — Holi Baibul.html
E,"Español",Full Bible,"Biblica® Open Nueva Biblia Viva 2008",spaonbv,E/Español/Full Bible — Biblica® Open Nueva Biblia Viva 2008.html
E,"English",Portions,"Brenton Septuagint Translation",eng-Brenton,E/English/Portions — Brenton Septuagint Translation.html
E,"English",Portions,"Updated Brenton English Septuagint",englxxup,E/English/Portions — Updated Brenton English Septuagint.html
G,"Greek, Ancient",Portions,"μετάφραση των εβδομήκοντα",grcbrent,G/Greek, Ancient/Portions — μετάφραση των εβδομήκοντα.html
E,"English",Portions,"LXX2012: Septuagint in American English 2012",eng-lxx2012,E/English/Portions — LXX2012 Septuagint in American English 2012.html
E,"English",Portions,"LXX2012: Septuagint in British/International English 2012",eng-uk-lxx2012,E/English/Portions — LXX2012 Septuagint in British International English 2012.html
G,"Greek, Ancient",Portions,"Η Παλαιά Διαθήκη κατά τη μετάφραση των εβδομήκοντα (Ο') | SEPTUAGINTA",grclxx,G/Greek, Ancient/Portions — Η Παλαιά Διαθήκη κατά τη μετάφραση των εβδομήκοντα (Ο') SEPTUAGINTA.html
W,"Wolaytta",Portions,"Wolaytta Bible",wal,W/Wolaytta/Portions — Wolaytta Bible.html
B,"Busa",New Testament,"Luda yã takada kũ Bisã yão",bqp,B/Busa/New Testament — Luda yã takada kũ Bisã yão.html
L,"Lukpa",Full Bible,"PIIPILI ƖSƆ TƆM TAKƎLAƔA",dop,L/Lukpa/Full Bible — PIIPILI ƖSƆ TƆM TAKƎLAƔA.html
H,"Hebrew",Portions,"כתבי הקודש",hbo,H/Hebrew/Portions — כתבי הקודש.html
H,"Hebrew",Portions,"כתבי הקודש",hboWLC,H/Hebrew/Portions — כתבי הקודש (hboWLC).html
#,"עברית",Portions,"Westminster Leningrad Codex",hebwlc,#/עברית/Portions — Westminster Leningrad Codex.html
E,"English",Portions,"JPS TaNaKH 1917",engjps,E/English/Portions — JPS TaNaKH 1917.html
E,"English",Portions,"Isaac Leeser Tanakh",englee,E/English/Portions — Isaac Leeser Tanakh.html
V,"Vidunda",New Testament,"Ilagano lya Katali, Ilagano Linyale kwa Wanhu Weng’ha",vid,V/Vidunda/New Testament — Ilagano lya Katali, Ilagano Linyale kwa Wanhu Weng’ha.html
M,"Manobo, Western Bukidnon",Portions,"Is Lalag te Megbevayà",mbbOT,M/Manobo, Western Bukidnon/Portions — Is Lalag te Megbevayà.html
I,"Indonesian",New Testament,"Alkitab Terjemahan Sederhana Indonesia, Edisi Ketiga",ind,I/Indonesian/New Testament — Alkitab Terjemahan Sederhana Indonesia, Edisi Ketiga.html
K,"Kutu",New Testament,"Biblia Kikutu",kdc,K/Kutu/New Testament — Biblia Kikutu.html
A,"Aguacateco",New Testament,"Yi Antiw Bible / Yi Ac'aj Testament",aguBl,A/Aguacateco/New Testament — Yi Antiw Bible Yi Ac'aj Testament.html
T,"Tairora",New Testament,"Kotira Uva",tbg,T/Tairora/New Testament — Kotira Uva.html
B,"Bokobaru",New Testament,"Luda yã takada kↄ̃n Bokobaru yão",bus,B/Bokobaru/New Testament — Luda yã takada kↄ̃n Bokobaru yão.html
C,"Cishingini",Portions,"Cishingini Agwara Kambari [asg]",asg,C/Cishingini/Portions — Cishingini Agwara Kambari [asg].html
E,"English",New Testament,"George Noyes Bible",engnoy,E/English/New Testament — George Noyes Bible.html
Y,"Yabem",Portions,"BIBOLO DABUŊ",jae,Y/Yabem/Portions — BIBOLO DABUŊ.html
K,"Kyaka Enga",New Testament,"BUKU BAEPOLE",kyc,K/Kyaka Enga/New Testament — BUKU BAEPOLE.html
A,"Aguaruna",New Testament,"Awajún [Aguaruna]",agr,A/Aguaruna/New Testament — Awajún [Aguaruna].html
M,"Mbula-Bwazza",Portions,"Mbula-Bwazza",mbu,M/Mbula-Bwazza/Portions — Mbula-Bwazza.html
E,"Ekajuk",Portions,"Ekajuk Scriptures Bible Portions",eka,E/Ekajuk/Portions — Ekajuk Scriptures Bible Portions.html
C,"Candoshi-Shapra",New Testament,"Candoshi-Shapra",cbuNT,C/Candoshi-Shapra/New Testament — Candoshi-Shapra.html
E,"English",Portions,"One Unity Resource Bible",engourb,E/English/Portions — One Unity Resource Bible.html
G,"Gela",New Testament,"Na Rongorongo Uto nina Jesus Christ",nlg,G/Gela/New Testament — Na Rongorongo Uto nina Jesus Christ.html
D,"Dhanki",New Testament,"परमेश्वरन सत्य वचन",dhn,D/Dhanki/New Testament — परमेश्वरन सत्य वचन.html
A,"Ahirani",New Testament,"प्रेम संदेश",ahr,A/Ahirani/New Testament — प्रेम संदेश.html
H,"Holiya",New Testament,"परमेश्‍वर उन वचन",hoy,H/Holiya/New Testament — परमेश्‍वर उन वचन.html
B,"Bola",New Testament,"A Nitana Vure",bnp,B/Bola/New Testament — A Nitana Vure.html
L,"Lodhi",New Testament,"जीवन को वचन",lbm,L/Lodhi/New Testament — जीवन को वचन.html
E,"English",New Testament,"Open English Bible (Commonwealth Spelling)",engoebcw,E/English/New Testament — Open English Bible (Commonwealth Spelling).html
E,"English",New Testament,"Open English Bible (U. S. spelling)",engoebus,E/English/New Testament — Open English Bible (U. S. spelling).html
G,"Gumatj",New Testament,"Gumatj Bible",gnn,G/Gumatj/New Testament — Gumatj Bible.html
K,"Kwere",New Testament,"Biblia Ching'hwele",cwe,K/Kwere/New Testament — Biblia Ching'hwele.html
T,"Tetun Dili",New Testament,"Testamentu Foun ba Ema Hotu",tdt,T/Tetun Dili/New Testament — Testamentu Foun ba Ema Hotu.html
W,"Waskia",New Testament,"KAEM KO DEN",wsk,W/Waskia/New Testament — KAEM KO DEN.html
B,"Binumarien",New Testament,"Fúka Moodaanaki Kira Ufa Afaqínaasa Ufa",bjr,B/Binumarien/New Testament — Fúka Moodaanaki Kira Ufa Afaqínaasa Ufa.html
M,"Mbula",New Testament,"Anutu Sua Kini Potomaxana",mna,M/Mbula/New Testament — Anutu Sua Kini Potomaxana.html
#,"беларуская",New Testament,"Новы Запавет і Кнігі Старога Запавету",beln,#/беларуская/New Testament — Новы Запавет і Кнігі Старога Запавету.html
E,"Emberá, Northern",New Testament,"Ãcõrẽ Bed̶ea",empNTpo,E/Emberá, Northern/New Testament — Ãcõrẽ Bed̶ea.html
U,"Uduk",New Testament,"Gwo Ma Arumgimis",udu,U/Uduk/New Testament — Gwo Ma Arumgimis.html
W,"Wolio",Portions,"Kitabi Momangkilona Wolio",wlo,W/Wolio/Portions — Kitabi Momangkilona Wolio.html
M,"Mutu",New Testament,"Maaron Saveeŋ Tooni Patabuyaaŋ",tuc-t,M/Mutu/New Testament — Maaron Saveeŋ Tooni Patabuyaaŋ.html
M,"Mutu",New Testament,"Maaron Saveeŋ Toni Patabuaŋ",tuc-o,M/Mutu/New Testament — Maaron Saveeŋ Toni Patabuaŋ.html
M,"Misima-Paneati",New Testament,"Bateli Vavaluna",mpx,M/Misima-Paneati/New Testament — Bateli Vavaluna.html
N,"Numanggang",New Testament,"Bepaŋ'Walaŋ Folofolok Kobuli",nop,N/Numanggang/New Testament — Bepaŋ'Walaŋ Folofolok Kobuli.html
Y,"Yongkom",New Testament,"Buk Baibel long tokples Yongkom",yon,Y/Yongkom/New Testament — Buk Baibel long tokples Yongkom.html
N,"Ngaanyatjarra",New Testament,"Mama Kuurrku Wangka",ntj,N/Ngaanyatjarra/New Testament — Mama Kuurrku Wangka.html
T,"Tuma-Irumu",New Testament,"Tuma-Irumu",iou,T/Tuma-Irumu/New Testament — Tuma-Irumu.html
B,"Blaan, Sarangani",New Testament,"I tnalù dwata",bps,B/Blaan, Sarangani/New Testament — I tnalù dwata.html
H,"Hre",New Testament,"Hset Hadròeh",hrebt,H/Hre/New Testament — Hset Hadròeh.html
A,"Achuar-shiwiar",New Testament,"Achuar Peru: Yuse Chichame Aarmauri",acuNT,A/Achuar-shiwiar/New Testament — Achuar Peru Yuse Chichame Aarmauri.html
S,"Suau",New Testament,"RIBA HARIHARIUNA",swp,S/Suau/New Testament — RIBA HARIHARIUNA.html
C,"Chin, Matu",New Testament,"Tuivang Holy Bible",hltthb,C/Chin, Matu/New Testament — Tuivang Holy Bible.html
G,"Gunwinggu",New Testament,"God Nuye Kunwok",gup,G/Gunwinggu/New Testament — God Nuye Kunwok.html
P,"Paama",New Testament,"Paama Bible",pma,P/Paama/New Testament — Paama Bible.html
P,"Pitjantjatjara",New Testament,"Tjukurpa Palya",pjt,P/Pitjantjatjara/New Testament — Tjukurpa Palya.html
S,"Siroi",New Testament,"KUATE TUKU PASA",ssd,S/Siroi/New Testament — KUATE TUKU PASA.html
T,"Tucano",New Testament,"Õ'âkĩ̶ hɨ yeere uúkũri turi Tukano",tuoNT,T/Tucano/New Testament — Õ'âkĩ̶ hɨ yeere uúkũri turi Tukano.html
G,"Gumawana",New Testament,"Buki Kimaasabaina",gvs,G/Gumawana/New Testament — Buki Kimaasabaina.html
B,"Baga Sitemu",Portions,"Kitabu ka Kanu",bsp,B/Baga Sitemu/Portions — Kitabu ka Kanu.html
K,"Kizalamo",New Testament,"Bibilia ya Kizalamo",zajp,K/Kizalamo/New Testament — Bibilia ya Kizalamo.html
S,"Saafi-Saafi",New Testament,"Saafi-Saafi",sav,S/Saafi-Saafi/New Testament — Saafi-Saafi.html
B,"Bariai",New Testament,"Deo Ele Posanga",bch,B/Bariai/New Testament — Deo Ele Posanga.html
A,"Ashéninka, South Ucayali",New Testament,"Las Escrituras en Ashéninka Ucayali del Sur del Perú",cpy,A/Ashéninka, South Ucayali/New Testament — Las Escrituras en Ashéninka Ucayali del Sur del Perú.html
C,"Chachi",New Testament,"Diosa' kiika; Génesis, Éxodo y El Nuevo Testamento",cbiNTpo,C/Chachi/New Testament — Diosa' kiika; Génesis, Éxodo y El Nuevo Testamento.html
K,"Kanasi",New Testament,"Ina Sanaa Gagalowa",soq,K/Kanasi/New Testament — Ina Sanaa Gagalowa.html
T,"Tarok",Portions,"Tarok Bible",yer,T/Tarok/Portions — Tarok Bible.html
S,"Sudest",New Testament,"Toto Thovuye Loi Ghalɨŋae",tgo,S/Sudest/New Testament — Toto Thovuye Loi Ghalɨŋae.html
U,"Ukranian",New Testament,"Бібліка ® Відкрита Новий Переклад Українською",ukronpu,U/Ukranian/New Testament — Бібліка ® Відкрита Новий Переклад Українською.html
A,"Assyrian Neo-Aramaic",New Testament,"ܕܝܬܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ ܘܡܙܡܘܪ̈ܐ ܒܠܫܢܐ ܐܬܘܪܝܐ",aii,A/Assyrian Neo-Aramaic/New Testament — ܕܝܬܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ ܘܡܙܡܘܪ̈ܐ ܒܠܫܢܐ ܐܬܘܪܝܐ.html
K,"Kiyombi",New Testament,"Biblica® Open Nkanda wu Moyo, Nguizani Yimona ayi Minkunga 2002",yom,K/Kiyombi/New Testament — Biblica® Open Nkanda wu Moyo, Nguizani Yimona ayi Minkunga 2002.html
P,"Pohnpeian",New Testament,"Kadede Kap Pjam Akan",pon,P/Pohnpeian/New Testament — Kadede Kap Pjam Akan.html
P,"Pohnpeian",New Testament,"Kadede Kap Psam Akan",pon-pdn,P/Pohnpeian/New Testament — Kadede Kap Psam Akan.html
Z,"Zapotec, Tabaa",New Testament,"Xela wezria cube nen salmo caʼ",zatNTps,Z/Zapotec, Tabaa/New Testament — Xela wezria cube nen salmo caʼ.html
M,"Madak",New Testament,"Lenavolo Lovoang Kaala Maxat La Sam",mmx,M/Madak/New Testament — Lenavolo Lovoang Kaala Maxat La Sam.html
Y,"Yawa",New Testament,"Yawa",yvaNT,Y/Yawa/New Testament — Yawa.html
Z,"Zapotec, Rincón",New Testament,"Didza' cubi rucá'ana tsahui'",zarNT,Z/Zapotec, Rincón/New Testament — Didza' cubi rucá'ana tsahui'.html
K,"Kube",New Testament,"SISIPAC AC ɊELIA",kgf,K/Kube/New Testament — SISIPAC AC ɊELIA.html
Z,"Zapotec, Yatee",New Testament,"Dižaʼ chaweʼ kub len Salmo kaʼ",ztyNTps,Z/Zapotec, Yatee/New Testament — Dižaʼ chaweʼ kub len Salmo kaʼ.html
S,"Sio",New Testament,"MARO KINDENI KAWA ŊGUA",xsi,S/Sio/New Testament — MARO KINDENI KAWA ŊGUA.html
B,"Barai",New Testament,"GODIDO VUA MAEJE",bbb,B/Barai/New Testament — GODIDO VUA MAEJE.html
Y,"Yopno",New Testament,"PIŊKOP GEN",yut,Y/Yopno/New Testament — PIŊKOP GEN.html
D,"Dedua",New Testament,"Yoac kekehagocac Dzadzahac gboria nga Mitiyegec",ded,D/Dedua/New Testament — Yoac kekehagocac Dzadzahac gboria nga Mitiyegec.html
W,"Wantoat",New Testament,"Anututane Wam Kwikwiu Kayuk Kaknga Jesu Kraisda Takepbut Taknga Anin gatu Sam Kuupbam Lotutane Kap Taknga",wnc,W/Wantoat/New Testament — Anututane Wam Kwikwiu Kayuk Kaknga Jesu Kraisda Takepbut Taknga Anin gatu Sam Kuupbam Lotutane Kap Taknga.html
A,"Apal",New Testament,"Asɨ dɨ manasɨŋ",ena,A/Apal/New Testament — Asɨ dɨ manasɨŋ.html
W,"Warlpiri",New Testament,"Warlpiri Short Bible",wbp,W/Warlpiri/New Testament — Warlpiri Short Bible.html
P,"Patpatar",New Testament,"No Sigar Kunubus tika ma Ira Ninge na Lotu",gfk,P/Patpatar/New Testament — No Sigar Kunubus tika ma Ira Ninge na Lotu.html
K,"Korafe",New Testament,"God Da Geka Seka",kpr,K/Korafe/New Testament — God Da Geka Seka.html
A,"Anjam",New Testament,"Yesus Aqa Anjam Bole 2014 + Qotei qa Lou",boj2014,A/Anjam/New Testament — Yesus Aqa Anjam Bole 2014 + Qotei qa Lou.html
N,"Natügu",New Testament,"Nzryrngrkxtr Kc Ate Rut x Sam",ntu,N/Natügu/New Testament — Nzryrngrkxtr Kc Ate Rut x Sam.html
T,"Tagabawa",New Testament,"Kagi Ka Manama",bgs,T/Tagabawa/New Testament — Kagi Ka Manama.html
I,"Icelandic",New Testament,"Biblica® Opna Lifandi Orð Nýja testamentið og Sálmarnir™",isl,I/Icelandic/New Testament — Biblica® Opna Lifandi Orð Nýja testamentið og Sálmarnir™.html
I,"Iamalele",New Testament,"YAUBADA YANA VONA'AWAUFAUFA 'IVAUNA",yml,I/Iamalele/New Testament — YAUBADA YANA VONA'AWAUFAUFA 'IVAUNA.html
S,"Shipibo-Conibo",New Testament,"Diossen joi jatíxonbi onanti joi",shpNTpo,S/Shipibo-Conibo/New Testament — Diossen joi jatíxonbi onanti joi.html
C,"Chorti",New Testament,"Uyojroner e Dios xeꞌ Tzꞌijbꞌabꞌir Tama e Onian Tiempo",caa,C/Chorti/New Testament — Uyojroner e Dios xeꞌ Tzꞌijbꞌabꞌir Tama e Onian Tiempo.html
B,"Bribri",New Testament,"Tte Pa̱'a̱li̱ Me' Skëköl tö Se' a̱",bzdNTpo,B/Bribri/New Testament — Tte Pa̱'a̱li̱ Me' Skëköl tö Se' a̱.html
K,"Kamula",New Testament,"Ka꞉dle Yu",xla,K/Kamula/New Testament — Ka꞉dle Yu.html
L,"Luang",New Testament,"Puka Lululi",lex,L/Luang/New Testament — Puka Lululi.html
A,"Arrernte, Eastern",New Testament,"Angkentye Mwerre",aer,A/Arrernte, Eastern/New Testament — Angkentye Mwerre.html
E,"English",Portions,"Wycliffe Bible",engWycliffe,E/English/Portions — Wycliffe Bible.html
L,"Lungga",New Testament,"Luqa Full Bible",lga,L/Lungga/New Testament — Luqa Full Bible.html
B,"Borong",New Testament,"Uumeleembaa Buŋa Tere Soomoŋgo Gbilia",ksr,B/Borong/New Testament — Uumeleembaa Buŋa Tere Soomoŋgo Gbilia.html
S,"Somba-Siawari or Burum-Mindik",New Testament,"Burum-Mindik Bible",bmu,S/Somba-Siawari or Burum-Mindik/New Testament — Burum-Mindik Bible.html
T,"Tungag",New Testament,"AKUS RO NA PALATUNG TANGINANG ANI IESU KARISTO",lcm,T/Tungag/New Testament — AKUS RO NA PALATUNG TANGINANG ANI IESU KARISTO.html
T,"Torres Strait Creole",New Testament,"Baibol Tores Streit Yumplatok",tcs,T/Torres Strait Creole/New Testament — Baibol Tores Streit Yumplatok.html
B,"Bimin",New Testament,"Sunbin-Got em Kitakamin Weng",bhl,B/Bimin/New Testament — Sunbin-Got em Kitakamin Weng.html
K,"Keyagana",New Testament,"Saufa Kotalake Gemae",kyg,K/Keyagana/New Testament — Saufa Kotalake Gemae.html
N,"Nyindrou",New Testament,"Sahou ta Kindrei",lid,N/Nyindrou/New Testament — Sahou ta Kindrei.html
S,"Sénoufo, Supyire",New Testament,"KILE JWUMPE SEMƐŊI JWUMPE NINTANMPE",spp,S/Sénoufo, Supyire/New Testament — KILE JWUMPE SEMƐŊI JWUMPE NINTANMPE.html
G,"Guambiano",New Testament,"Nacom Pejume Diwesi po diwesi pena jume diwesi xua Jesucristo yabara tinatsi",gum,G/Guambiano/New Testament — Nacom Pejume Diwesi po diwesi pena jume diwesi xua Jesucristo yabara tinatsi.html
C,"Carrier",New Testament,"Yak'usda Ooghuni",crxNTpo,C/Carrier/New Testament — Yak'usda Ooghuni.html
N,"Nali",New Testament,"Nongan Hiyan",nss,N/Nali/New Testament — Nongan Hiyan.html
M,"Makonde",New Testament,"Lilailano Lyahambi Lya Nnungu Kwa Vanu Vammalele",kde,M/Makonde/New Testament — Lilailano Lyahambi Lya Nnungu Kwa Vanu Vammalele.html
G,"Gapapaiwa",New Testament,"Gapapaiwa New Testament",pwg,G/Gapapaiwa/New Testament — Gapapaiwa New Testament.html
M,"Mankanya",New Testament,"Ulibra wi Naşibaţi",knf,M/Mankanya/New Testament — Ulibra wi Naşibaţi.html
M,"Mato",New Testament,"Urana Xuana",met,M/Mato/New Testament — Urana Xuana.html
P,"Pele-Ata",New Testament,"Vaikala Noxou Lataua",ata,P/Pele-Ata/New Testament — Vaikala Noxou Lataua.html
U,"Ubir",New Testament,"God An Dura Bobaibasit Boboun",ubr,U/Ubir/New Testament — God An Dura Bobaibasit Boboun.html
B,"Bontok, Central",New Testament,"Nan kalin Apo Dios",lbk,B/Bontok, Central/New Testament — Nan kalin Apo Dios.html
C,"Cofán",New Testament,"Chiga Tevaen'Jema Atesuja 1, Aisheve Caña'cho",conNTpo,C/Cofán/New Testament — Chiga Tevaen'Jema Atesuja 1, Aisheve Caña'cho.html
S,"Sembeleke",New Testament,"Sembeleke",ssx,S/Sembeleke/New Testament — Sembeleke.html
D,"Dogrib",New Testament,"Nǫ̀htsı̨̨ Nı̨̨htł'è",dgrDOGNT,D/Dogrib/New Testament — Nǫ̀htsı̨̨ Nı̨̨htł'è.html
R,"Ramoaaina",New Testament,"BUK TAABU MATAKIN + TURPAAINA",rai,R/Ramoaaina/New Testament — BUK TAABU MATAKIN + TURPAAINA.html
M,"Manobo, Sarangani",New Testament,"Se kaling peokit",mbs,M/Manobo, Sarangani/New Testament — Se kaling peokit.html
W,"West Kewa",New Testament,"Gotena Epe Agaa",kew,W/West Kewa/New Testament — Gotena Epe Agaa.html
C,"Cashibo-Cacataibo",New Testament,"Nukën 'Ibu Diosan ain unikama 'inan ain bana",cbrNT,C/Cashibo-Cacataibo/New Testament — Nukën 'Ibu Diosan ain unikama 'inan ain bana.html
K,"Kupang Malay",New Testament,"Kupang Malay Bible",mkn,K/Kupang Malay/New Testament — Kupang Malay Bible.html
B,"Bambam",New Testament,"Suha' Maseho: Kadadiam anna Pa'dandiam Bakahu",ptu,B/Bambam/New Testament — Suha' Maseho Kadadiam anna Pa'dandiam Bakahu.html
K,"Kwara'ae",New Testament,"Fau Alanga'inga Faolu Ana Ala'anga Kwara'ae",kwf,K/Kwara'ae/New Testament — Fau Alanga'inga Faolu Ana Ala'anga Kwara'ae.html
C,"Chayahuita",New Testament,"Yosë nanamën",cbtNTpo,C/Chayahuita/New Testament — Yosë nanamën.html
K,"Kaluli",New Testament,"Godeya꞉ To Nafayo꞉ We",bco,K/Kaluli/New Testament — Godeya꞉ To Nafayo꞉ We.html
T,"Teribe",New Testament,"Sbö Tjl̈õkwo",tfrNTpo,T/Teribe/New Testament — Sbö Tjl̈õkwo.html
H,"Helong",New Testament,"Buk Niu In Hida Balu nol Dehet deng Apan-kloma ki in Dadi ka",hegNTpo,H/Helong/New Testament — Buk Niu In Hida Balu nol Dehet deng Apan-kloma ki in Dadi ka.html
A,"Amele",New Testament,"BAL CEHEC JE HAUN",aey,A/Amele/New Testament — BAL CEHEC JE HAUN.html
A,"Amarasi",New Testament,"Uisneno In Kabin ma Prenat: Rais Manba'an Fe'u nok Reta' Ahun-hunut",aaz,A/Amarasi/New Testament — Uisneno In Kabin ma Prenat Rais Manba'an Fe'u nok Reta' Ahun-hunut.html
L,"Lole",New Testament,"Rote Lole Alkitab",llg,L/Lole/New Testament — Rote Lole Alkitab.html
D,"Dela-Oenale",New Testament,"Rote Dela Alkitab",row,D/Dela-Oenale/New Testament — Rote Dela Alkitab.html
D,"Dhao",New Testament,"Dhao Alkitab",nfa,D/Dhao/New Testament — Dhao Alkitab.html
T,"Tetun",New Testament,"Tetun Alkitab",tet,T/Tetun/New Testament — Tetun Alkitab.html
T,"Tii",New Testament,"Rote Tii Alkitab",txq,T/Tii/New Testament — Rote Tii Alkitab.html
W,"Waris",New Testament,"Sesoana Besal Nemelmoa Walsana Moana",wrs,W/Waris/New Testament — Sesoana Besal Nemelmoa Walsana Moana.html
G,"Gizrra",New Testament,"Godón Buk",tof,G/Gizrra/New Testament — Godón Buk.html
S,"Sankaran Maninka",Portions,"Alla la Kitabu Seniman",msc,S/Sankaran Maninka/Portions — Alla la Kitabu Seniman.html
T,"Thur",Portions,"Leb-Thur",lth,T/Thur/Portions — Leb-Thur.html
C,"Chol",New Testament,"JINI WEN BΛ T'AN",ctucti,C/Chol/New Testament — JINI WEN BΛ T'AN.html
A,"Alyawarr",Portions,"Alyawarr Bible",aly,A/Alyawarr/Portions — Alyawarr Bible.html
K,"Kuku-Yalanji",New Testament,"Godumu Kuku",gvn,K/Kuku-Yalanji/New Testament — Godumu Kuku.html
N,"Nunggubuyu",New Testament,"Ana-Maṉngulg Ana-Wubiba -- Anu-gadhuwa Ana-lhaawu",nuy,N/Nunggubuyu/New Testament — Ana-Maṉngulg Ana-Wubiba -- Anu-gadhuwa Ana-lhaawu.html
R,"Rikou",Portions,"Rote Rikou Alkitab",rgu,R/Rikou/Portions — Rote Rikou Alkitab.html
Q,"Quechua, San Martín",New Testament,"Tata Diospa Mushuk Rimanan",qvsNT,Q/Quechua, San Martín/New Testament — Tata Diospa Mushuk Rimanan.html
