letter,language,coverage,title,id,file
S,"Serbian",Full Bible,"Свето писмо или Библија Превод Даничић-Караџић",srp1868,S/Serbian/Full Bible — Свето писмо или Библија Превод Даничић-Караџић.html
F,"French",Full Bible,"La Sainte Bible",fra_fob,F/French/Full Bible — La Sainte Bible.html
P,"Português",Full Bible,"Biblica® Open Nova Bíblia Viva 2007",poronbv,P/Português/Full Bible — Biblica® Open Nova Bíblia Viva 2007.html
A,"Arabic",Full Bible,"الكتاب المقدس باللغة العربية، فان دايك",arb-vd,A/Arabic/Full Bible — الكتاب المقدس باللغة العربية، فان دايك.html
C,"Chichewa",Full Bible,"Biblica® Tsekulani Mawu a Mulungu mu Chichewa Chalero",nya,C/Chichewa/Full Bible — Biblica® Tsekulani Mawu a Mulungu mu Chichewa Chalero.html
C,"Chin, Matu",Full Bible,"Baibal Olcim",hlt,C/Chin, Matu/Full Bible — Baibal Olcim (hlt).html
C,"Chin, Thaiphum",Full Bible,"Thai Phum Holy Bible",cth,C/Chin, Thaiphum/Full Bible — Thai Phum Holy Bible.html
E,"English",Full Bible,"Free Bible Version",engfbv,E/English/Full Bible — Free Bible Version.html
E,"English",Full Bible,"Literal Standard Version",englsv,E/English/Full Bible — Literal Standard Version.html
G,"Gujarati",Full Bible,"ઇન્ડિયન રીવાઇઝ્ડ વર્ઝન ગુજરાતી - 2019",guj2017,G/Gujarati/Full Bible — ઇન્ડિયન રીવાઇઝ્ડ વર્ઝન ગુજરાતી - 2019.html
H,"Hindi",Full Bible,"इंडियन रिवाइज्ड वर्जन (IRV) हिंदी - 2019",hin2017,H/Hindi/Full Bible — इंडियन रिवाइज्ड वर्जन (IRV) हिंदी - 2019.html
L,"Luganda",Full Bible,"Biblica® Bayibuli Entukuvu, Endagaano Enkadde nʼEndagaano Empya ekwatiddwa ku katambi™",lug,L/Luganda/Full Bible — Biblica® Bayibuli Entukuvu, Endagaano Enkadde nʼEndagaano Empya ekwatiddwa ku katambi™.html
O,"Oriya",Full Bible,"ଇଣ୍ଡିୟାନ ରିୱାଇସ୍ଡ୍ ୱରସନ୍ ଓଡିଆ",ory,O/Oriya/Full Bible — ଇଣ୍ଡିୟାନ ରିୱାଇସ୍ଡ୍ ୱରସନ୍ ଓଡିଆ.html
